name,symbol,website,github,careers,circulating_supply,ID,last_updated,max_supply,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,total_supply,website_slug
IslaCoin,ISL,http://www.islacoin.net/,https://github.com/islacoin/islacoin,,1513704,1084,1527573549,,242673,-0.16,-2.26,,0.160317,0.738514,1140,1513704,islacoin
Philosopher S...,PHS,http://philosopherstones.org/,https://github.com/VladK75/philosopherstone,,,,,,,,,,,,,,
SatoshiMadness,MAD,,https://github.com/playpossat/blocksattime,,2000683485,1048,1526695746,,164084,,,,8.20E-05,,1184,2000683485,satoshimadness
PX,PX,,https://github.com/iGotSpots/PX,,98341177,1357,1527522549,,163679,,-0.52,,0.0016644,,1185,98341177,px
GlobalCoin,GLC,http://www.globalcoin.info/,https://github.com/cryptoparts/Globalcoin,,65171010,51,1527573541,,125265,-0.18,5.65,,0.0019221,0.81611,1203,65171010,globalcoin
Advanced Inte...,AIB,http://aib.iobond.com/,https://github.com/iobond/aib,,,,,,,,,,,,,,
Firecoin,FIRE,,https://github.com/techcoincommunity/firecoin/releases,,98412,476,1527573544,,91777,-0.16,-24.43,,0.932575,24.7678,1226,98412,firecoin
JavaScript Token,JS,http://jschain.io/,https://github.com/jschain,,7991996,2100,1527425957,,78231,,,,0.00978871,,1238,7991996,javascript-token
Gold Pressed ...,GPL,http://www.scificrypto.info/gpl/index.htm,https://github.com/scificrypto/Gold-Pressed-Latinum,,,,,,,,,,,,,,
Useless Ether...,UET,https://uetoken.com/,https://github.com/uetoken,,,,,,,,,,,,,,
Virta Unique ...,VUC,http://www.virtauniquecoin.com/,https://github.com/virtauniquecoin/virtauniquecoin-master,,,,,,,,,,,,,,
Independent M...,IMS,http://independentmoneysystem.com/,https://github.com/independentmoneysystem/IMSCoin,,,,,,,,,,,,,,
ImpulseCoin,IMPS,http://www.impulsecoin.io/,https://github.com/Impulsecoin/ImpulseCoin,,20245510,1438,1527573554,,24501,-0.16,11.71,,0.00121021,4.17252,1304,20245510,impulsecoin
Litecred,LTCR,,https://github.com/litecred/litecred,,30227750,1155,1527573549,,23671,-0.18,-2.13,,0.000783078,64.523,1306,30227750,litecred
TAGRcoin,TAGR,http://www.tagrcoin.com/,https://github.com/tagrdev/tagrcoin,,38669634,997,1527573548,,22023,-0.18,,,0.000569511,28.6535,1310,38669634,tagrcoin
Cthulhu Offer...,OFF,http://cthulhuofferings.tk/,https://github.com/thegreatoldone/offerings,,,,,,,,,,,,,,
Selfiecoin,SLFI,,https://github.com/selfiecoin/slfi,,107829281,865,1527573547,,7676,-0.16,-2.13,,7.12E-05,0.711889,1331,107829281,selfiecoin
Libra Credit,LBA,https://www.libracredit.io/,https://github.com/libracredit,,,2760,1527573581,,,-1.87,-8.95,,0.189979,152596000,1344,1000000000,libra-credit
NKN,NKN,https://nkn.org/,https://github.com/nknorg,,,2780,1527573581,,,-5.69,,,0.3381,8161830,1352,700000000,nkn
Intelligent I...,IIC,http://www.iicoin.io/,https://github.com/iichain,,,,,,,,,,,,,,
Patron,PAT,https://patron-ico.io/,https://gist.github.com/patron-ico/,,,2759,1527573581,,,0.31,-8.13,,0.0946912,3550030,1358,400000000,patron
RED,RED,https://ico.red-lang.org/,https://github.com/red/red,,,2771,1527573582,,,0.68,1.6,,0.146801,3395690,1360,200000000,red
APIS,APIS,https://apisplatform.io/,https://github.com/Oxchild/crowdsale,,,2767,1527573581,,,3.56,9.54,,0.00706051,2472890,1364,9520000000,apis
Lightning Bit...,LBTC,http://lbtc.io/,https://github.com/lbtcio,,,,,,,,,,,,,,
Silent Notary,SNTR,https://silentnotary.com/,https://github.com/SilentNotary/ICO-SN,,,2764,1527573581,,,-7.42,12,,0.000149321,954048,1387,1.96332E+11,silent-notary
Tezos (Pre-La...,XTZ,https://www.tezos.com/,https://github.com/tezos/tezos,,,,,,,,,,,,,,
